,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
4003,Neon Glow C - Icon Pack,PERSONALIZATION,4.8,557,74M,"10,000+",Paid,$0.99,Everyone,Personalization,"July 27, 2018",4.5.0,4.0.3 and up
4034,Hitman Sniper,GAME,4.6,408292,29M,"10,000,000+",Paid,$0.99,Mature 17+,Action,"July 12, 2018",1.7.110758,4.1 and up
4047,Koi Live Wallpaper,PERSONALIZATION,4.6,14026,12M,"100,000+",Paid,$0.99,Everyone,Personalization,"June 24, 2014",1.9,2.2 and up
4057,Mind Games Pro,FAMILY,4.6,15301,18M,"100,000+",Paid,$2.99,Everyone,Puzzle;Brain Games,"July 18, 2018",3.0.5,2.3 and up
4085,Maps & GPS Navigation OsmAnd+,TRAVEL_AND_LOCAL,4.3,15209,Varies with device,"100,000+",Paid,$8.99,Everyone,Travel & Local,"August 1, 2018",Varies with device,Varies with device
4108,F-Stop Gallery Pro,PHOTOGRAPHY,4.4,1302,58k,"10,000+",Paid,$4.99,Everyone,Photography,"August 5, 2015",3.2,2.2 and up
4127,Speech Therapy: F,FAMILY,1.0,1,16M,10+,Paid,$2.99,Everyone,Education,"October 7, 2016",1.0,2.3.3 and up
4132,F-Sim Space Shuttle,FAMILY,4.4,5427,Varies with device,"100,000+",Paid,$4.99,Everyone,Simulation,"January 28, 2014",Varies with device,Varies with device
4133,Weather Live,WEATHER,4.5,76593,Varies with device,"500,000+",Paid,$5.99,Everyone,Weather,"November 21, 2017",Varies with device,Varies with device
4134,Norwegian For Kids & Babies F,FAMILY,,0,14M,5+,Paid,$39.99,Everyone,Education,"September 24, 2015",1.0,4.0 and up
4137,F-1 watchface by Delta,PERSONALIZATION,,0,Varies with device,10+,Paid,$2.49,Everyone,Personalization,"August 23, 2017",Varies with device,Varies with device
4139,F Length Sim (no Ads),PHOTOGRAPHY,,0,1.7M,10+,Paid,$2.00,Everyone,Photography,"April 29, 2018",1.0,4.0.3 and up
4140,Arto: f.infrared photo,PHOTOGRAPHY,4.1,41,11M,500+,Paid,$1.49,Everyone,Photography,"July 19, 2016",3.1,4.4 and up
4156,G Cloud Apps Backup Key * root,TOOLS,4.5,1034,196k,"5,000+",Paid,$4.99,Everyone,Tools,"September 8, 2013",1.1,2.2 and up
4158,Next Launcher 3D Theme Hit-G,PERSONALIZATION,4.2,59,8.1M,"1,000+",Paid,$1.70,Everyone,Personalization,"August 16, 2015",1.05,2.2 and up
4161,G-Playlists,TOOLS,1.8,53,3.4M,"1,000+",Paid,$1.49,Everyone,Tools,"May 19, 2018",1.91,4.0.3 and up
4165,Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5,11M,100+,Paid,$2.99,Everyone,Productivity,"September 26, 2016",2,3.2 and up
4166,G-Force Driving Assistant,SPORTS,4.6,10,6.1M,100+,Paid,$3.88,Everyone,Sports,"April 10, 2013",1.0,2.3.3 and up
4169,Go,PERSONALIZATION,4.6,89,11M,"5,000+",Paid,$0.99,Everyone,Personalization,"October 21, 2017",1.6.1,4.0.3 and up
4172,G-NetTrack Pro,TOOLS,4.3,255,1.6M,"5,000+",Paid,$14.99,Everyone,Tools,"July 25, 2018",14.6,4.0 and up
4173,"G Theme 2 for LG V30, LG G6",PERSONALIZATION,4.3,25,15M,500+,Paid,$1.49,Everyone,Personalization,"December 13, 2017",1.0.2,7.0 and up
4175,A41 WatchFace for Android Wear Smart Watch,LIFESTYLE,4.5,231,5.7M,"5,000+",Paid,$0.99,Everyone,Lifestyle,"December 24, 2017",7.0.1,4.3 and up
4177,G-NetReport Pro,TOOLS,,0,1.6M,10+,Paid,$25.99,Everyone,Tools,"June 14, 2018",5.0,4.0 and up
4178,Dialer theme G Black Gold,PERSONALIZATION,4.2,33,857k,500+,Paid,$1.49,Everyone,Personalization,"January 1, 2016",2.0,4.0 and up
4181,G-NetWiFi Pro,TOOLS,3.3,6,1.5M,100+,Paid,$5.99,Everyone,Tools,"June 18, 2018",3.2,4.0 and up
4190,H*nest Meditation,LIFESTYLE,4.9,145,48M,"5,000+",Paid,$1.99,Mature 17+,Lifestyle,"April 7, 2016",1.0,4.0.3 and up
4192,Deaf - Hearing chat device H,COMMUNICATION,4.4,9,51k,500+,Paid,$3.99,Everyone,Communication,"February 8, 2017",3.6,2.2 and up
4197,most expensive app (H),FAMILY,4.3,6,1.5M,100+,Paid,$399.99,Everyone,Entertainment,"July 16, 2018",1.0,7.0 and up
4203,The World Ends With You,GAME,4.6,4108,13M,"10,000+",Paid,$17.99,Everyone 10+,Arcade,"December 14, 2015",1.0.4,4.0 and up
4216,Ulysse Speedometer Pro,AUTO_AND_VEHICLES,4.6,4140,Varies with device,"50,000+",Paid,$1.99,Everyone,Auto & Vehicles,"May 13, 2018",Varies with device,Varies with device
4218,D+H Reaction Wall,GAME,,0,Varies with device,1+,Paid,$0.99,Everyone,Arcade,"July 24, 2016",Varies with device,Varies with device
4260,Cut the Rope GOLD,FAMILY,4.6,61264,43M,"1,000,000+",Paid,$0.99,Everyone,Puzzle,"June 19, 2018",3.7.0,4.1 and up
4265,J Alvarej Moji,COMMUNICATION,,2,13M,10+,Paid,$1.99,Everyone,Communication,"May 3, 2017",1.0,3.2 and up
4282,K-@ Mail Pro - Email App,COMMUNICATION,4.2,1603,Varies with device,"10,000+",Paid,$4.99,Everyone,Communication,"July 23, 2016",Varies with device,Varies with device
4293,K.MOJI,FAMILY,4.8,16,8.9M,500+,Paid,$1.99,Everyone,Entertainment,"May 9, 2017",1.0,4.2 and up
4299,Math Games for Pre-K - Grade 4,FAMILY,4.6,28,23M,"1,000+",Paid,$1.99,Everyone,Education;Education,"January 13, 2014",1.02,2.2 and up
4301,Fuzzy Numbers: Pre-K Number Foundation,FAMILY,4.7,21,44M,"1,000+",Paid,$5.99,Everyone,Education;Education,"July 21, 2017",1.3,4.1 and up
4316,Anna.K Tarot,FAMILY,4.8,17,23M,100+,Paid,$3.99,Mature 17+,Entertainment,"January 16, 2017",1.4.4,4.0.3 and up
4347,Minecraft,FAMILY,4.5,2375336,Varies with device,"10,000,000+",Paid,$6.99,Everyone 10+,Arcade;Action & Adventure,"July 24, 2018",1.5.2.1,Varies with device
4358,m>notes notepad,PRODUCTIVITY,4.3,184,Varies with device,"1,000+",Paid,$2.99,Everyone,Productivity,"December 4, 2015",Varies with device,2.2 and up
4362,💎 I'm rich,LIFESTYLE,3.8,718,26M,"10,000+",Paid,$399.99,Everyone,Lifestyle,"March 11, 2018",1.0.0,4.4 and up
4367,I'm Rich - Trump Edition,LIFESTYLE,3.6,275,7.3M,"10,000+",Paid,$400.00,Everyone,Lifestyle,"May 3, 2018",1.0.1,4.1 and up
4380,N Launcher Pro - Nougat 7.0,PERSONALIZATION,4.3,2538,6.4M,"100,000+",Paid,$2.99,Everyone,Personalization,"March 23, 2018",1.5.1,4.1 and up
4391,Traps n' Gemstones,GAME,4.5,413,9.1M,"1,000+",Paid,$4.99,Everyone,Adventure,"May 17, 2017",1.04,4.0.3 and up
4395,Guns'n'Glory Zombies Premium,FAMILY,4.1,313,34M,"5,000+",Paid,$2.99,Everyone 10+,Strategy,"July 15, 2016",1.1.5,2.3.3 and up
4397,Guns'n'Glory Premium,FAMILY,4.4,3570,21M,"100,000+",Paid,$2.99,Everyone 10+,Strategy,"September 22, 2017",1.8.1,2.3.3 and up
4400,Ghosts'n Goblins MOBILE,GAME,3.8,466,28M,"10,000+",Paid,$0.99,Everyone,Arcade,"March 28, 2017",1.00.02,4.1 and up
4403,Dark Infusion Substratum Theme for Android N & O,PERSONALIZATION,4.8,133,59M,"1,000+",Paid,$2.49,Everyone,Personalization,"August 3, 2018",15.6,7.0 and up
4405,Guns'n'Glory Heroes Premium,FAMILY,4.3,923,Varies with device,"10,000+",Paid,$2.99,Everyone,Strategy,"November 9, 2017",Varies with device,Varies with device
4409,Lock 'n' Roll Pro - Ad Free,GAME,4.6,169,13M,"1,000+",Paid,$0.99,Everyone,Card,"July 1, 2015",4.0.5,2.3.3 and up
4411,Age of Conquest: N. America,FAMILY,4.5,659,3.3M,"10,000+",Paid,$3.99,Everyone,Strategy,"August 4, 2018",1.0.28,1.5 and up
4413,Guns'n'Glory WW2 Premium,FAMILY,4.5,4656,20M,"100,000+",Paid,$2.99,Everyone 10+,Strategy,"December 8, 2017",1.4.11,4.0 and up
4416,Jump'N'Shoot Attack,GAME,4.1,155,32M,"1,000+",Paid,$2.49,Everyone,Arcade,"May 26, 2018",1.2,4.1 and up
4417,Ghouls'n Ghosts MOBILE,GAME,3.9,168,49M,"5,000+",Paid,$1.99,Everyone 10+,Arcade,"May 18, 2017",1.00.00,4.1 and up
4419,Oddworld: New 'n' Tasty,GAME,4.6,1475,34M,"10,000+",Paid,$4.99,Teen,Action,"January 2, 2018",1.0.4,5.0 and up
4423,Planet O - Icon Pack,PERSONALIZATION,4.6,354,24M,"10,000+",Paid,$0.99,Everyone,Personalization,"June 13, 2018",1.6.1,4.1 and up
4427,Stand O’Food® (Full),FAMILY,4.4,925,40M,"10,000+",Paid,$1.99,Everyone,Casual,"December 26, 2014",1.5,2.3.3 and up
4429,Detect-O-Gromit (D.O.G 2),FAMILY,3.8,45,47M,"10,000+",Paid,$2.49,Everyone,Entertainment,"July 16, 2018",1.2,5.0 and up
4431,Obbligo o Verità? PRO,GAME,,4,2.9M,100+,Paid,$0.99,Teen,Board,"April 26, 2018","1,01",3.0 and up
4433,O'Route Orienteering,SPORTS,4.2,6,1.3M,100+,Paid,$3.02,Everyone,Sports,"December 27, 2017",2.0.5,3.0 and up
4437,Prime Key for Nougat Launcher& O Launcher &KitKat,PERSONALIZATION,4.1,324,313k,"5,000+",Paid,$6.99,Everyone,Personalization,"August 20, 2017",5.1,5.1 and up
4450,Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29,39M,100+,Paid,$1.99,Everyone,Personalization,"May 16, 2018",1.0.0,6.0 and up
4451,Android P Home KLWP,PERSONALIZATION,,0,2.1M,5+,Paid,$1.49,Everyone,Personalization,"April 14, 2018",v2018.Apr.12.16,5.0 and up
4452,P-Home for KLWP,PERSONALIZATION,5.0,4,12M,100+,Paid,$0.99,Everyone,Personalization,"May 15, 2018",v2018.May.15.14,5.0 and up
4453,[substratum] Vacuum: P,PERSONALIZATION,4.4,230,11M,"1,000+",Paid,$1.49,Everyone,Personalization,"July 20, 2018",4.4,
4456,[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZATION,4.0,13,19M,100+,Paid,$0.99,Everyone,Personalization,"July 20, 2018",H7SubTV0.1_TV0.4,7.0 and up
4457,Pacify Exceed (Android P) - Theme for Xperia™,PERSONALIZATION,,5,1.9M,10+,Paid,$1.49,Everyone,Personalization,"July 2, 2018",1.2.A.Exceed.Paid,6.0 and up
4458,Theme Android P Design for LG V30,PERSONALIZATION,4.2,35,5.2M,500+,Paid,$1.49,Everyone,Personalization,"April 26, 2018",1.33,7.0 and up
4459,Pistachio Launcher for Android P 9.0,PERSONALIZATION,,0,2.3M,1+,Paid,$1.49,Everyone,Personalization,"July 11, 2018",1.0.2,4.1 and up
4460,Theme Android P for LG G7 & V35,PERSONALIZATION,4.6,5,4.5M,100+,Paid,$1.49,Everyone,Personalization,"July 7, 2018",1.1,8.0 and up
4461,Volume Slider Like Android P Volume Control,TOOLS,4.1,1129,1.7M,"10,000+",Paid,$0.99,Everyone,Tools,"June 30, 2018",1.28,4.1 and up
4462,Pacify (Android P theme) - Theme for Xperia™,PERSONALIZATION,,1,1.8M,10+,Paid,$0.99,Everyone,Personalization,"July 15, 2018",1.0.B+.Exceed.Paid,5.0 and up
4465,Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,,0,5.5M,0+,Paid,$1.49,Everyone,Personalization,"July 11, 2018",1.1,4.2 and up
4466,Theme Android P Black design for LG V30,PERSONALIZATION,4.4,8,6.2M,100+,Paid,$1.49,Everyone,Personalization,"April 6, 2018",1.1,7.0 and up
4468,Theme Android P Black for LG G7 & V35,PERSONALIZATION,4.6,5,4.3M,100+,Paid,$1.49,Everyone,Personalization,"July 31, 2018",1.3,7.0 and up
4471,Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,,0,3.6M,1+,Paid,$1.49,Everyone,Personalization,"July 23, 2018",1.2.A.Exceed.Paid,6.0 and up
4477,Android P Style Icon Pack,PERSONALIZATION,5.0,1,60M,100+,Paid,$0.99,Everyone,Personalization,"June 16, 2018",1.0,4.1 and up
4487,Pixel Oreo/P Dark White AMOLED UI - Icon Pack,PERSONALIZATION,4.8,18,16M,"5,000+",Paid,$1.49,Everyone,Personalization,"June 21, 2018",5.1,4.0.3 and up
4488,pretty Easy privacy p≡p,COMMUNICATION,3.7,21,20M,500+,Paid,$0.99,Everyone,Communication,"July 30, 2018",1.0.100rc1.withoutKeysync,5.0 and up
4489,P Icon Pack,FAMILY,,0,21M,10+,Paid,$0.99,Everyone,Entertainment,"July 16, 2018",1.0.6,4.0.3 and up
4491,"Q Alerts: QAnon Drop Notifications, Research +++",NEWS_AND_MAGAZINES,4.7,143,26M,"5,000+",Paid,$0.99,Mature 17+,News & Magazines,"July 26, 2018",4.1.10,4.1 and up
4508,Q Avatar Pro,FAMILY,4.8,4,3.6M,100+,Paid,$1.49,Teen,Entertainment,"March 4, 2017",1.3.5,2.3 and up
4521,Q-slope,TOOLS,4.5,2,3.9M,50+,Paid,$1.76,Everyone,Tools,"December 3, 2017",5.0,4.3 and up
4534,R Instructor,FAMILY,4.1,135,4.9M,"1,000+",Paid,$4.84,Everyone,Education,"February 21, 2014",2.03,3.0 and up
4542,R-TYPE II,GAME,4.3,5682,37M,"50,000+",Paid,$1.99,Everyone,Arcade,"March 2, 2017",1.1.5,2.3.3 and up
4554,R-TYPE,GAME,4.5,7687,23M,"100,000+",Paid,$1.99,Everyone,Arcade,"February 27, 2017",2.3.1,2.3.3 and up
4556,Day R Premium,FAMILY,4.8,51068,57M,"100,000+",Paid,$4.99,Teen,Role Playing,"June 21, 2018",1.574,4.0.3 and up
4559,Elemental Knights R Platinum,FAMILY,3.8,2925,93M,"50,000+",Paid,$4.77,Teen,Role Playing,"August 1, 2018",6.2.1,4.1 and up
4561,Neon-R (Red),PERSONALIZATION,4.7,25,41M,100+,Paid,$0.99,Everyone,Personalization,"March 12, 2015",1.0,4.0.3 and up
4571,S Launcher Pro for Galaxy,PERSONALIZATION,4.1,47,26k,"1,000+",Paid,$4.99,Everyone,Personalization,"February 12, 2016",1.0,4.1 and up
4577,PitchBlack S - Samsung Substratum Theme “For Oreo”,PERSONALIZATION,4.5,90,37M,"1,000+",Paid,$1.99,Everyone,Personalization,"August 4, 2018",12.6,7.0 and up
4585,Shopping List S PRO,SHOPPING,4.8,14,2.7M,100+,Paid,$2.49,Everyone,Shopping,"May 16, 2018",2.10,4.1 and up
4606,I Can't Wake Up!,TOOLS,4.7,963,3.7M,"10,000+",Paid,$2.99,Everyone,Tools,"May 25, 2018",3.4.0,4.0 and up
4612,Don't Starve: Pocket Edition,GAME,4.4,17988,7.9M,"100,000+",Paid,$4.99,Teen,Adventure,"July 25, 2018",1.06,5.0 and up
4613,"Please, Don't Touch Anything",FAMILY,4.4,1771,46M,"10,000+",Paid,$4.99,Teen,Puzzle,"April 20, 2016",1.1.0,2.3 and up
4616,Please Don't Touch Anything 3D,FAMILY,4.2,146,20M,"5,000+",Paid,$5.99,Teen,Puzzle,"December 7, 2016",1.1,4.4 and up
4617,Don't Panic with Andrew J.,BOOKS_AND_REFERENCE,4.5,124,Varies with device,"5,000+",Paid,$2.99,Everyone,Books & Reference,"August 25, 2015",Varies with device,Varies with device
4619,Don't Starve: Shipwrecked,GAME,4.1,1468,4.9M,"10,000+",Paid,$4.99,Teen,Adventure,"July 10, 2018",0.16,5.0 and up
4620,Ludo - Don't get angry,GAME,4.2,131,23M,"1,000+",Paid,$1.61,Everyone,Board,"February 24, 2016",1.6.3,2.3.3 and up
4621,Jurassic Life: T Rex Simulator,FAMILY,4.2,1088,35M,"10,000+",Paid,$0.99,Everyone 10+,Simulation,"August 19, 2014",1.2,2.0.1 and up
4637,Kicker U,LIFESTYLE,4.1,124,37M,"5,000+",Paid,$3.99,Everyone,Lifestyle,"June 13, 2018",3.04,4.0.3 and up
4663,Alarmy (Sleep If U Can) - Pro,LIFESTYLE,4.8,10249,Varies with device,"10,000+",Paid,$2.49,Everyone,Lifestyle,"July 30, 2018",Varies with device,Varies with device
4694,FINAL FANTASY V,FAMILY,4.5,15924,4.2M,"100,000+",Paid,$7.99,Teen,Role Playing,"March 15, 2017",1.2.1,4.0 and up
4697,FORD V SERIES CALC - NO LIMIT,AUTO_AND_VEHICLES,,2,17M,50+,Paid,$9.99,Everyone,Auto & Vehicles,"June 25, 2018",3.0.0,4.0 and up
4700,Mike V: Skateboard Party PRO,SPORTS,4.2,2506,Varies with device,"50,000+",Paid,$3.99,Everyone,Sports,"January 23, 2017",Varies with device,Varies with device
4708,Mental Hospital V,GAME,4.2,2460,25M,"50,000+",Paid,$0.99,Mature 17+,Action,"November 19, 2016",1.04,4.2 and up
4711,DRAGON QUEST V,FAMILY,4.7,1667,17M,"10,000+",Paid,$14.99,Teen,Role Playing,"August 1, 2018",1.0.3,2.3 and up
4716,W Pro - Weather Forecast & Animated Weather Maps,WEATHER,3.8,11,2.9M,500+,Paid,$1.99,Everyone,Weather,"April 23, 2018",1.0,4.1 and up
4721,W-History Standalone,SOCIAL,3.2,38,1.5M,"1,000+",Paid,$0.99,Everyone,Social,"March 9, 2018",1.935,7.0 and up
4743,weather HD,PERSONALIZATION,4.0,1546,4.5M,"10,000+",Paid,$1.99,Everyone,Personalization,"February 26, 2014",3.1,2.1 and up
4755,"X Launcher Pro: PhoneX Theme, OS11 Control Center",ART_AND_DESIGN,4.7,801,3.5M,"5,000+",Paid,$1.99,Everyone,Art & Design,"July 30, 2018",2.1.2,4.1 and up
4759,X Launcher Pro - IOS Style Theme & Control Center,ART_AND_DESIGN,4.8,1216,8.6M,"10,000+",Paid,$1.99,Everyone,Art & Design,"June 26, 2018",1.0.0,4.1 and up
4764,X Launcher Prime: With OS Style Theme & No Ads,ART_AND_DESIGN,4.7,149,3.5M,"1,000+",Paid,$1.99,Everyone,Art & Design,"July 30, 2018",1.2.2,4.1 and up
4769,Light X - Icon Pack,PERSONALIZATION,4.6,252,24M,"10,000+",Paid,$0.99,Everyone,Personalization,"June 13, 2018",1.6.1,4.1 and up
4773,X-Plane to GPS,TOOLS,4.2,161,1.2M,"5,000+",Paid,$0.99,Everyone,Tools,"March 4, 2018",1.62,4.4 and up
4776,iLauncher OS 12 Pro - Phone X,PERSONALIZATION,,3,9.6M,50+,Paid,$2.99,Everyone,Personalization,"June 24, 2018",1.0.1,4.1 and up
4779,X Back - Icon Pack,PERSONALIZATION,4.5,56,26M,"10,000+",Paid,$0.99,Everyone,Personalization,"June 29, 2018",1.6.2,4.1 and up
4781,"Decibel X PRO - Sound Meter dBA, Noise Detector",TOOLS,4.3,60,6.9M,"1,000+",Paid,$3.99,Everyone,Tools,"July 11, 2018",4.4.1,4.1 and up
4788,X Construction,FAMILY,4.5,18612,8.5M,"100,000+",Paid,$1.49,Everyone,Puzzle,"July 28, 2015",1.57,2.3 and up
4789,X Home Bar - Home Bar Gesture Pro,TOOLS,4.0,88,2.0M,"10,000+",Paid,$1.99,Everyone,Tools,"July 2, 2018",1.5,4.3 and up
4813,Z Origins - (Z The Game),FAMILY,4.6,4421,37M,"50,000+",Paid,$2.99,Teen,Strategy,"November 5, 2014",1.77,2.2 and up
4834,Space Z 🌏 🚀Icon Pack Theme,PERSONALIZATION,4.8,201,68M,"1,000+",Paid,$1.49,Everyone,Personalization,"August 4, 2018",1.2.7,4.0.3 and up
4842,Zombie Avengers:(Dreamsky)Stickman War Z,GAME,4.3,13604,96M,"1,000,000+",Paid,$0.99,Teen,Action,"June 26, 2018",2.4.4,2.3 and up
4844,ZArchiver Donate,TOOLS,4.8,1721,Varies with device,"10,000+",Paid,$2.50,Everyone,Tools,"February 16, 2018",Varies with device,Varies with device
4845,Cardio Z,MEDICAL,,24,10M,100+,Paid,$5.99,Everyone,Medical,"March 13, 2017",1.0.2.1,4.4 and up
4848,Z PIVOT,COMMUNICATION,,0,5.7M,10+,Paid,$19.99,Everyone,Communication,"July 11, 2018",1.3,4.2 and up
4868,Daily Ab Workout,HEALTH_AND_FITNESS,4.6,2901,Varies with device,"50,000+",Paid,$1.99,Everyone,Health & Fitness,"June 14, 2018",Varies with device,Varies with device
4882,Math games for kids : times tables training,FAMILY,4.5,630,8.3M,"10,000+",Paid,$1.59,Everyone,Educational;Education,"July 27, 2018",3.9.3,4.0.3 and up
4901,Assassin's Creed Identity,GAME,3.7,42529,92M,"500,000+",Paid,$1.99,Teen,Action,"November 23, 2016",2.8.2,4.1 and up
4938,Pocket AC,PHOTOGRAPHY,4.8,130,4.4M,"1,000+",Paid,$9.99,Everyone,Photography,"June 27, 2018",3.1.1,4.1 and up
4946,Flud (Ad free),VIDEO_PLAYERS,4.8,5639,Varies with device,"10,000+",Paid,$1.49,Everyone,Video Players & Editors,"September 7, 2017",Varies with device,Varies with device
4951,tTorrent - ad free,VIDEO_PLAYERS,4.3,2976,Varies with device,"10,000+",Paid,$1.99,Everyone,Video Players & Editors,"June 15, 2018",1.5.14,4.1 and up
4952,cronometer (ad free),HEALTH_AND_FITNESS,3.9,1075,8.3M,"50,000+",Paid,$2.99,Everyone,Health & Fitness,"July 13, 2018",2.1.2,4.4 and up
4955,MyRadar NOAA Weather Radar Ad Free,WEATHER,4.5,3005,26M,"10,000+",Paid,$2.99,Everyone,Weather,"August 4, 2018",7.1.4,4.0.3 and up
4958,FVD Ad-Free,TOOLS,4.4,1774,4.1M,"10,000+",Paid,$1.99,Everyone,Tools,"October 5, 2017",4.4.3,3.0 and up
4962,Weather & Radar Pro - Ad-Free,WEATHER,4.5,25243,26M,"100,000+",Paid,$2.99,Everyone,Weather,"August 1, 2018",4.34.0,4.4 and up
4963,ONScripter Plus (Ad Free),GAME,4.5,100,17M,"1,000+",Paid,$3.99,Everyone,Adventure,"April 7, 2016",1.2.4,4.1 and up
4964,Vpn Hosts (ad blocker & no root & support ipv6 ),TOOLS,4.4,319,1.1M,"10,000+",Paid,$2.99,Everyone,Tools,"July 3, 2018",2.0.1,4.4 and up
4971,WhatsFake Pro (Ad free),SOCIAL,4.2,204,9.4M,"5,000+",Paid,$0.99,Everyone,Social,"September 25, 2017",1.4,4.1 and up
4973,Ad Removal: thereisonlywe,PRODUCTIVITY,3.4,16,293k,100+,Paid,$6.49,Everyone,Productivity,"May 3, 2014",1.0,2.2 and up
4977,Ad Remove Plugin for App2SD,PRODUCTIVITY,4.1,66,17k,"1,000+",Paid,$1.29,Everyone,Productivity,"September 25, 2013",1.0.0,2.2 and up
4980,RAM Cleanup Ad-Free Option,TOOLS,4.4,457,1.1M,"10,000+",Paid,$2.99,Everyone,Tools,"July 26, 2016",3.0,4.1 and up
4983,My baby firework (Remove ad),FAMILY,4.1,30,14k,"1,000+",Paid,$0.99,Everyone,Entertainment,"April 25, 2013",Varies with device,Varies with device
4988,Easy Hotspot Ad Free,TOOLS,5.0,2,3.3M,10+,Paid,$0.99,Everyone,Tools,"July 26, 2018",1.05,4.0 and up
5005,Mupen64Plus AE (N64 Emulator),GAME,4.2,4569,12M,"100,000+",Paid,$0.99,Everyone,Arcade,"January 19, 2014",2.4.4,2.0 and up
5036,NewTek NDI,PHOTOGRAPHY,3.5,77,1.2M,"1,000+",Paid,$19.99,Everyone,Photography,"October 26, 2016",1.1,4.1 and up
5040,Gunship III Vietnam People AF,FAMILY,4.3,726,19M,"5,000+",Paid,$4.99,Everyone,Simulation,"December 9, 2016",3.8.4,2.3.3 and up
5051,AF-STROKE,MEDICAL,,5,902k,100+,Paid,$5.00,Teen,Medical,"December 19, 2013",1.3,2.1 and up
5083,"AG Contacts, Premium edition",COMMUNICATION,4.5,88,3.7M,500+,Paid,$4.99,Everyone,Communication,"May 18, 2018",8.05.18.14250,4.0.3 and up
5094,AG Subway Simulator Mobile,FAMILY,4.5,623,47M,"5,000+",Paid,$0.99,Everyone,Simulation,"June 2, 2018",1.3.0.6,4.1 and up
5126,Michael's AG Sound Board,FAMILY,,0,1.7M,1+,Paid,$0.99,Everyone,Entertainment,"December 12, 2017",1.1,1.6 and up
5144,AH Alarm Panel,TOOLS,3.9,7,81k,100+,Paid,$4.99,Everyone,Tools,"May 12, 2011",1.2.0,1.5 and up
5181,The Artificial Intelligence Project (A.I. Chat),FAMILY,3.0,76,39M,"5,000+",Paid,$1.99,Everyone,Simulation,"March 29, 2018",1.2,2.3 and up
5215,AI Draw | Art Filter for Selfie,PHOTOGRAPHY,3.0,20,4.3M,"1,000+",Paid,$2.99,Everyone,Photography,"June 18, 2018",1.4.7,5.0 and up
5217,Message AI - Write Better Messages,TOOLS,,0,7.9M,100+,Paid,$2.99,Mature 17+,Tools,"July 4, 2018",1.3.1,5.0 and up
5221,Age of AI: War Strategy,FAMILY,4.6,71,5.7M,500+,Paid,$2.49,Everyone,Strategy,"March 14, 2018",1.8,4.0 and up
5224,AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,42M,"50,000+",Paid,$1.99,Everyone,Arcade,"March 7, 2016",1.6,4.0 and up
5237,Hey AJ! It's Saturday!,BOOKS_AND_REFERENCE,5.0,12,50M,100+,Paid,$3.99,Everyone,Books & Reference,"June 13, 2016",1.0.0,2.2 and up
5246,Hey AJ! It's Bedtime!,FAMILY,5.0,1,63M,10+,Paid,$4.99,Everyone,Education,"April 4, 2018",1.0.59,2.3 and up
5252,Watch Face Swiss AJ-6,PERSONALIZATION,4.1,21,3.6M,100+,Paid,$0.99,Everyone,Personalization,"September 20, 2017",1.35,4.3 and up
5257,AJ Gray Icon Pack,PERSONALIZATION,4.8,5,35M,50+,Paid,$0.99,Everyone,Personalization,"April 22, 2018",1.1,4.1 and up
5260,AJ Gray Dark Icon Pack,PERSONALIZATION,5.0,2,35M,10+,Paid,$0.99,Everyone,Personalization,"April 29, 2018",1.1,4.1 and up
5263,AJ Blue Icon Pack,PERSONALIZATION,5.0,4,31M,50+,Paid,$0.99,Everyone,Personalization,"April 27, 2018",1.1,4.1 and up
5265,AJ Turquoise Dark Icon Pack,PERSONALIZATION,,0,32M,10+,Paid,$0.99,Everyone,Personalization,"May 1, 2018",1.1,4.1 and up
5269,AJ Orange Icon Pack,PERSONALIZATION,,0,30M,10+,Paid,$0.99,Everyone,Personalization,"May 2, 2018",1.1,4.1 and up
5307,Ak Parti Yardım Toplama,SOCIAL,,0,8.7M,0+,Paid,$13.99,Teen,Social,"July 28, 2017",3.4.4.3.3,4.1 and up
5341,Al'Quran Bahasa Indonesia PRO,BOOKS_AND_REFERENCE,4.7,1340,11M,"10,000+",Paid,$4.49,Everyone,Books & Reference,"May 16, 2018",4.0.5,2.2 and up
5351,I am rich,LIFESTYLE,3.8,3547,1.8M,"100,000+",Paid,$399.99,Everyone,Lifestyle,"January 12, 2018",2.0,4.0.3 and up
5354,I am Rich Plus,FAMILY,4.0,856,8.7M,"10,000+",Paid,$399.99,Everyone,Entertainment,"May 19, 2018",3.0,4.4 and up
5355,I am rich VIP,LIFESTYLE,3.8,411,2.6M,"10,000+",Paid,$299.99,Everyone,Lifestyle,"July 21, 2018",1.1.1,4.3 and up
5356,I Am Rich Premium,FINANCE,4.1,1867,4.7M,"50,000+",Paid,$399.99,Everyone,Finance,"November 12, 2017",1.6,4.0 and up
5357,I am extremely Rich,LIFESTYLE,2.9,41,2.9M,"1,000+",Paid,$379.99,Everyone,Lifestyle,"July 1, 2018",1.0,4.0 and up
